SampleID	Site
158458797-stool1	ST
158479027-stool1	ST
158458797-tonguedorsum1	OR
158458797-buccalmucosa1	OR
158458797-supragingivalplaque1	OR
158458797-anteriornares1	SK
158458797-posteriorfornix1	VG
158479027-tonguedorsum1	OR
158479027-supragingivalplaque1	OR
158479027-anteriornares1	SK
158499257-stool1	ST
158499257-tonguedorsum1	OR
158499257-buccalmucosa1	OR
158499257-supragingivalplaque1	OR
158742018-stool1	ST
158742018-tonguedorsum1	OR
158742018-buccalmucosa1	OR
158742018-supragingivalplaque1	OR
158742018-anteriornares1	SK
158742018-posteriorfornix1	VG
158944319-stool1	ST
158944319-tonguedorsum1	OR
158944319-buccalmucosa1	OR
158944319-supragingivalplaque1	OR
158944319-posteriorfornix1	VG
158984779-anteriornares1	SK
159247771-stool1	ST
159146620-stool1	ST
159166850-stool1	ST
159247771-posteriorfornix1	VG
159733294-stool1	ST
158337416-stool1	ST
158337416-tonguedorsum1	OR
158337416-buccalmucosa1	OR
158337416-supragingivalplaque1	OR
158337416-anteriornares1	SK
158337416-posteriorfornix1	VG
158398106-anteriornares1	SK
158822939-stool1	ST
158883629-stool1	ST
158883629-tonguedorsum1	OR
158883629-buccalmucosa1	OR
158883629-supragingivalplaque1	OR
158883629-posteriorfornix1	VG
158802708-stool1	ST
158802708-tonguedorsum1	OR
158802708-buccalmucosa1	OR
158802708-supragingivalplaque1	OR
158802708-anteriornares1	SK
158984779-stool1	ST
159571453-anteriornares1	SK
159369152-stool1	ST
159369152-tonguedorsum1	OR
159369152-supragingivalplaque1	OR
159591683-stool1	ST
159591683-tonguedorsum1	OR
159591683-buccalmucosa1	OR
159591683-supragingivalplaque1	OR
159591683-leftretroauricularcrease1	SK
159591683-rightretroauricularcrease1	SK
159591683-anteriornares1	SK
159207311-stool1	ST
159207311-tonguedorsum1	OR
159207311-buccalmucosa1	OR
159227541-stool1	ST
159227541-supragingivalplaque1	OR
159227541-posteriorfornix1	VG
159207311-anteriornares1	SK
159288231-stool1	ST
159268001-stool1	ST
159268001-tonguedorsum1	OR
159268001-buccalmucosa1	OR
159268001-supragingivalplaque1	OR
159268001-anteriornares1	SK
159571453-stool1	ST
159571453-tonguedorsum1	OR
159571453-buccalmucosa1	OR
159571453-supragingivalplaque1	OR
763435843-anteriornares1	SK
763435843-tonguedorsum1	OR
763435843-buccalmucosa1	OR
763496533-saliva1	OR
763496533-buccalmucosa1	OR
763496533-attachedkeratinizedgingiva1	OR
763496533-palatinetonsils1	OR
763496533-throat1	OR
763496533-supragingivalplaque1	OR
763496533-subgingivalplaque1	OR
763496533-stool1	ST
763496533-anteriornares1	SK
763435843-subgingivalplaque1	OR
763820215-tonguedorsum1	OR
763820215-buccalmucosa1	OR
763678604-stool1	ST
763536994-tonguedorsum1	OR
763536994-stool1	ST
763820215-stool1	ST
763820215-posteriorfornix1	VG
763577454-stool1	ST
763577454-anteriornares1	SK
763577454-vaginalintroitus1	VG
763577454-midvagina1	VG
763577454-saliva1	OR
763577454-tonguedorsum1	OR
763577454-buccalmucosa1	OR
763577454-attachedkeratinizedgingiva1	OR
763577454-palatinetonsils1	OR
763577454-throat1	OR
763577454-supragingivalplaque1	OR
763577454-subgingivalplaque1	OR
763577454-posteriorfornix1	VG
763840445-tonguedorsum1	OR
763840445-buccalmucosa1	OR
763840445-supragingivalplaque1	OR
763840445-stool1	ST
763840445-posteriorfornix1	VG
763961826-anteriornares1	SK
763961826-stool1	ST
763961826-tonguedorsum1	OR
763961826-buccalmucosa1	OR
763961826-attachedkeratinizedgingiva1	OR
763961826-throat1	OR
763961826-supragingivalplaque1	OR
763961826-subgingivalplaque1	OR
763961826-saliva1	OR
763860675-tonguedorsum1	OR
763860675-buccalmucosa1	OR
763860675-supragingivalplaque1	OR
763860675-anteriornares1	SK
763860675-stool1	ST
764062976-stool1	ST
763901136-tonguedorsum1	OR
763901136-buccalmucosa1	OR
763901136-anteriornares1	SK
763901136-posteriorfornix1	VG
763577454-saliva2	OR
763577454-tonguedorsum2	OR
763577454-buccalmucosa2	OR
763577454-attachedkeratinizedgingiva2	OR
763577454-palatinetonsils2	OR
763577454-throat2	OR
763577454-supragingivalplaque2	OR
763577454-subgingivalplaque2	OR
763577454-stool2	ST
763577454-vaginalintroitus2	VG
763577454-midvagina2	VG
763577454-posteriorfornix2	VG
763901136-stool1	ST
763759525-buccalmucosa1	OR
763759525-supragingivalplaque1	OR
763759525-posteriorfornix1	VG
763759525-stool1	ST
764143897-tonguedorsum1	OR
764143897-supragingivalplaque1	OR
764143897-stool1	ST
764143897-posteriorfornix1	VG
763982056-stool1	ST
763982056-anteriornares1	SK
763982056-tonguedorsum1	OR
763982056-buccalmucosa1	OR
763982056-supragingivalplaque1	OR
764042746-stool1	ST
764042746-buccalmucosa1	OR
764042746-supragingivalplaque1	OR
764042746-rightretroauricularcrease1	SK
764042746-tonguedorsum1	OR
764042746-posteriorfornix1	VG
764083206-anteriornares1	SK
764083206-stool1	ST
764083206-tonguedorsum1	OR
764083206-buccalmucosa1	OR
764083206-supragingivalplaque1	OR
764285508-tonguedorsum1	OR
764285508-buccalmucosa1	OR
764285508-supragingivalplaque1	OR
764285508-stool1	ST
764487809-anteriornares1	SK
764487809-tonguedorsum1	OR
764487809-buccalmucosa1	OR
764487809-supragingivalplaque1	OR
764487809-stool1	ST
764224817-buccalmucosa1	OR
764224817-anteriornares1	SK
764224817-supragingivalplaque1	OR
