Comp.m	Super.Site.m	Value.m	Privacy.m	Species.mOTUs.m	Indiv.m	Part.m	Ref	Comp.f	Super.Site.f	Value.f	Privacy.f	Species	Indiv.f	Part.f	Species.mOTUs.f	Sign
158479027:supragingivalplaque:ref_mOTU_v2_0131	Oral	-0.041266970982399995	Private	ref_mOTU_v2_0131	158479027	supragingivalplaque	158479027:supragingivalplaque:ref_mOTU_v2_0131	158479027:supragingivalplaque:393480	Oral	-0.04373381977120001	Private	393480	158479027	supragingivalplaque	ref_mOTU_v2_0131	Remained
158499257:supragingivalplaque:ref_mOTU_v2_0131	Oral	-0.0365435943831	Private	ref_mOTU_v2_0131	158499257	supragingivalplaque	158499257:supragingivalplaque:ref_mOTU_v2_0131	158499257:supragingivalplaque:393480	Oral	-0.0459897944106	Private	393480	158499257	supragingivalplaque	ref_mOTU_v2_0131	Remained
159268001:supragingivalplaque:ref_mOTU_v2_0131	Oral	0.009780875172599998	Not Private	ref_mOTU_v2_0131	159268001	supragingivalplaque	159268001:supragingivalplaque:ref_mOTU_v2_0131	159268001:supragingivalplaque:393480	Oral	0.006020570457700006	Not Private	393480	159268001	supragingivalplaque	ref_mOTU_v2_0131	Remained
159369152:supragingivalplaque:ref_mOTU_v2_0131	Oral	-0.0073640569973	Private	ref_mOTU_v2_0131	159369152	supragingivalplaque	159369152:supragingivalplaque:ref_mOTU_v2_0131	159369152:supragingivalplaque:393480	Oral	-0.003672636597300001	Private	393480	159369152	supragingivalplaque	ref_mOTU_v2_0131	Remained
159591683:supragingivalplaque:ref_mOTU_v2_0131	Oral	-0.014350645225300003	Private	ref_mOTU_v2_0131	159591683	supragingivalplaque	159591683:supragingivalplaque:ref_mOTU_v2_0131	159591683:supragingivalplaque:393480	Oral	-0.03200409287	Private	393480	159591683	supragingivalplaque	ref_mOTU_v2_0131	Remained
159814214:supragingivalplaque:ref_mOTU_v2_0131	Oral	-0.0322250796348	Private	ref_mOTU_v2_0131	159814214	supragingivalplaque	159814214:supragingivalplaque:ref_mOTU_v2_0131	159814214:supragingivalplaque:393480	Oral	-0.03350099148349999	Private	393480	159814214	supragingivalplaque	ref_mOTU_v2_0131	Remained
160319967:supragingivalplaque:ref_mOTU_v2_0131	Oral	-6.162497300001013e-5	Private	ref_mOTU_v2_0131	160319967	supragingivalplaque	160319967:supragingivalplaque:ref_mOTU_v2_0131	160319967:supragingivalplaque:393480	Oral	0.002559311924499999	Not Private	393480	160319967	supragingivalplaque	ref_mOTU_v2_0131	Changed
160421117:supragingivalplaque:ref_mOTU_v2_0131	Oral	0.05433971612500001	Not Private	ref_mOTU_v2_0131	160421117	supragingivalplaque	160421117:supragingivalplaque:ref_mOTU_v2_0131	160421117:supragingivalplaque:393480	Oral	0.0381174649919	Not Private	393480	160421117	supragingivalplaque	ref_mOTU_v2_0131	Remained
370425937:supragingivalplaque:ref_mOTU_v2_0131	Oral	0.0418794012794	Not Private	ref_mOTU_v2_0131	370425937	supragingivalplaque	370425937:supragingivalplaque:ref_mOTU_v2_0131	370425937:supragingivalplaque:393480	Oral	0.012371005310000002	Not Private	393480	370425937	supragingivalplaque	ref_mOTU_v2_0131	Remained
604812005:supragingivalplaque:ref_mOTU_v2_0131	Oral	0.016164091980500006	Not Private	ref_mOTU_v2_0131	604812005	supragingivalplaque	604812005:supragingivalplaque:ref_mOTU_v2_0131	604812005:supragingivalplaque:393480	Oral	-0.016782724144099995	Private	393480	604812005	supragingivalplaque	ref_mOTU_v2_0131	Changed
