Comp	Super.Site	Value	Privacy	Species	Indiv	Part
158499257:tonguedorsum:1005705	Oral	-0.0200296494234	Private	1005705	158499257	tonguedorsum
158883629:tonguedorsum:1005705	Oral	0.008706727188099998	Not Private	1005705	158883629	tonguedorsum
159227541:tonguedorsum:1005705	Oral	0.023276137840999994	Not Private	1005705	159227541	tonguedorsum
159551223:tonguedorsum:1005705	Oral	-0.037659225801699996	Private	1005705	159551223	tonguedorsum
550534656:tonguedorsum:1005705	Oral	0.010155919213099995	Not Private	1005705	550534656	tonguedorsum
638754422:tonguedorsum:1005705	Oral	-0.0183084127722	Private	1005705	638754422	tonguedorsum
675950834:tonguedorsum:1005705	Oral	-0.029380138276699996	Private	1005705	675950834	tonguedorsum
763577454:tonguedorsum:1005705	Oral	-0.02621855485030001	Private	1005705	763577454	tonguedorsum
763901136:tonguedorsum:1005705	Oral	-0.034807088697299995	Private	1005705	763901136	tonguedorsum
763961826:tonguedorsum:1005705	Oral	0.052931061194900014	Not Private	1005705	763961826	tonguedorsum
764588959:tonguedorsum:1005705	Oral	0.0013469401362000005	Not Private	1005705	764588959	tonguedorsum
764811490:tonguedorsum:1005705	Oral	0.0067029629234999985	Not Private	1005705	764811490	tonguedorsum
765074482:tonguedorsum:1005705	Oral	-0.025312063598499995	Private	1005705	765074482	tonguedorsum
823052294:tonguedorsum:1005705	Oral	0.008838636215299997	Not Private	1005705	823052294	tonguedorsum
159268001:supragingivalplaque:1035193	Oral	-0.035231729257600014	Private	1035193	159268001	supragingivalplaque
160582958:supragingivalplaque:1035193	Oral	-0.0776648149477	Private	1035193	160582958	supragingivalplaque
706846339:supragingivalplaque:1035193	Oral	0.023805644222999994	Not Private	1035193	706846339	supragingivalplaque
763901136:supragingivalplaque:1035193	Oral	-0.051763401970799996	Private	1035193	763901136	supragingivalplaque
763961826:supragingivalplaque:1035193	Oral	-0.0509169389573	Private	1035193	763961826	supragingivalplaque
764285508:supragingivalplaque:1035193	Oral	0.037370308646999986	Not Private	1035193	764285508	supragingivalplaque
861967750:supragingivalplaque:1035193	Oral	-0.07628267388650001	Private	1035193	861967750	supragingivalplaque
158479027:supragingivalplaque:1035195	Oral	-0.042231326595	Private	1035195	158479027	supragingivalplaque
160178356:supragingivalplaque:1035195	Oral	-0.0564508564055	Private	1035195	160178356	supragingivalplaque
160319967:supragingivalplaque:1035195	Oral	-0.014203008789999999	Private	1035195	160319967	supragingivalplaque
160421117:supragingivalplaque:1035195	Oral	-0.11395663824709999	Private	1035195	160421117	supragingivalplaque
160502038:supragingivalplaque:1035195	Oral	-0.0636222512309	Private	1035195	160502038	supragingivalplaque
160603188:supragingivalplaque:1035195	Oral	-0.028872680226400008	Private	1035195	160603188	supragingivalplaque
508703490:supragingivalplaque:1035195	Oral	-0.049478411567500005	Private	1035195	508703490	supragingivalplaque
763496533:supragingivalplaque:1035195	Oral	-0.06869499942400001	Private	1035195	763496533	supragingivalplaque
763759525:supragingivalplaque:1035195	Oral	-0.0316986445742	Private	1035195	763759525	supragingivalplaque
764062976:supragingivalplaque:1035195	Oral	-0.0297815976004	Private	1035195	764062976	supragingivalplaque
764811490:supragingivalplaque:1035195	Oral	-0.040296218187	Private	1035195	764811490	supragingivalplaque
765074482:supragingivalplaque:1035195	Oral	-0.030350802550900002	Private	1035195	765074482	supragingivalplaque
823052294:supragingivalplaque:1035195	Oral	-0.0701791226987	Private	1035195	823052294	supragingivalplaque
159551223:tonguedorsum:1095752	Oral	-0.12081382866437	Private	1095752	159551223	tonguedorsum
638754422:tonguedorsum:1095752	Oral	-0.09669289100300002	Private	1095752	638754422	tonguedorsum
763982056:tonguedorsum:1095752	Oral	-0.15339954493739	Private	1095752	763982056	tonguedorsum
857980665:tonguedorsum:1095752	Oral	-0.022236800805000012	Private	1095752	857980665	tonguedorsum
160178356:tonguedorsum:1105029	Oral	-0.0334102505242	Private	1105029	160178356	tonguedorsum
160421117:tonguedorsum:1105029	Oral	-0.0394198337288	Private	1105029	160421117	tonguedorsum
