Comp	Super.Site	Value	Privacy	Species.mOTUs	Indiv	Part
764366428:subgingivalplaque:meta_mOTU_v2_5315	Oral	-0.2561698328779	Private	meta_mOTU_v2_5315	764366428	subgingivalplaque
147406386:supragingivalplaque:meta_mOTU_v2_5315	Oral	-0.151350107129428	Private	meta_mOTU_v2_5315	147406386	supragingivalplaque
159207311:supragingivalplaque:meta_mOTU_v2_5315	Oral	-0.06453087098113	Private	meta_mOTU_v2_5315	159207311	supragingivalplaque
160502038:supragingivalplaque:meta_mOTU_v2_5315	Oral	-0.07161350316328301	Private	meta_mOTU_v2_5315	160502038	supragingivalplaque
160603188:supragingivalplaque:meta_mOTU_v2_5315	Oral	-0.036548301660969	Private	meta_mOTU_v2_5315	160603188	supragingivalplaque
158479027:supragingivalplaque:meta_mOTU_v2_5496	Oral	0.03669501222640001	Not Private	meta_mOTU_v2_5496	158479027	supragingivalplaque
158883629:supragingivalplaque:meta_mOTU_v2_5496	Oral	0.0147941409049	Not Private	meta_mOTU_v2_5496	158883629	supragingivalplaque
159268001:supragingivalplaque:meta_mOTU_v2_5496	Oral	-0.0311369545135	Private	meta_mOTU_v2_5496	159268001	supragingivalplaque
159814214:supragingivalplaque:meta_mOTU_v2_5496	Oral	-0.017068897024399995	Private	meta_mOTU_v2_5496	159814214	supragingivalplaque
160158126:supragingivalplaque:meta_mOTU_v2_5496	Oral	-0.005862561357700011	Private	meta_mOTU_v2_5496	160158126	supragingivalplaque
160502038:supragingivalplaque:meta_mOTU_v2_5496	Oral	-0.023907000010799997	Private	meta_mOTU_v2_5496	160502038	supragingivalplaque
370425937:supragingivalplaque:meta_mOTU_v2_5496	Oral	-0.030736394308900003	Private	meta_mOTU_v2_5496	370425937	supragingivalplaque
763901136:supragingivalplaque:meta_mOTU_v2_5496	Oral	0.03713239752679999	Not Private	meta_mOTU_v2_5496	763901136	supragingivalplaque
764285508:supragingivalplaque:meta_mOTU_v2_5496	Oral	0.1282813144895	Not Private	meta_mOTU_v2_5496	764285508	supragingivalplaque
765013792:supragingivalplaque:meta_mOTU_v2_5496	Oral	0.0916736985446	Not Private	meta_mOTU_v2_5496	765013792	supragingivalplaque
765701615:supragingivalplaque:meta_mOTU_v2_5496	Oral	-0.053593664327300006	Private	meta_mOTU_v2_5496	765701615	supragingivalplaque
158337416:tonguedorsum:meta_mOTU_v2_5742	Oral	-0.11199786950298	Private	meta_mOTU_v2_5742	158337416	tonguedorsum
158883629:tonguedorsum:meta_mOTU_v2_5742	Oral	-0.12310120561518001	Private	meta_mOTU_v2_5742	158883629	tonguedorsum
550534656:tonguedorsum:meta_mOTU_v2_5742	Oral	-0.0891929646447	Private	meta_mOTU_v2_5742	550534656	tonguedorsum
764224817:tonguedorsum:meta_mOTU_v2_5742	Oral	-0.112801745779759	Private	meta_mOTU_v2_5742	764224817	tonguedorsum
158458797:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.0319448467461	Private	meta_mOTU_v2_5811	158458797	tonguedorsum
158499257:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.0336335297371	Private	meta_mOTU_v2_5811	158499257	tonguedorsum
158802708:tonguedorsum:meta_mOTU_v2_5811	Oral	0.009089721717699992	Not Private	meta_mOTU_v2_5811	158802708	tonguedorsum
158883629:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.031480073066599994	Private	meta_mOTU_v2_5811	158883629	tonguedorsum
158944319:tonguedorsum:meta_mOTU_v2_5811	Oral	0.003663626956899993	Not Private	meta_mOTU_v2_5811	158944319	tonguedorsum
159207311:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.02116785256470001	Private	meta_mOTU_v2_5811	159207311	tonguedorsum
159227541:tonguedorsum:meta_mOTU_v2_5811	Oral	0.009474531048999993	Not Private	meta_mOTU_v2_5811	159227541	tonguedorsum
159268001:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.007261745755300003	Private	meta_mOTU_v2_5811	159268001	tonguedorsum
159551223:tonguedorsum:meta_mOTU_v2_5811	Oral	-7.93255619899999e-4	Private	meta_mOTU_v2_5811	159551223	tonguedorsum
159591683:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.03651499310200001	Private	meta_mOTU_v2_5811	159591683	tonguedorsum
159611913:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.062398535056300004	Private	meta_mOTU_v2_5811	159611913	tonguedorsum
159753524:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.030914793897699994	Private	meta_mOTU_v2_5811	159753524	tonguedorsum
160178356:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.010042078784500003	Private	meta_mOTU_v2_5811	160178356	tonguedorsum
160421117:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.012017901075000004	Private	meta_mOTU_v2_5811	160421117	tonguedorsum
160502038:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.017244571222299998	Private	meta_mOTU_v2_5811	160502038	tonguedorsum
160582958:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.006388322838999996	Private	meta_mOTU_v2_5811	160582958	tonguedorsum
160603188:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.068620376974	Private	meta_mOTU_v2_5811	160603188	tonguedorsum
246515023:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.010754746287000003	Private	meta_mOTU_v2_5811	246515023	tonguedorsum
508703490:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.0592879334566	Private	meta_mOTU_v2_5811	508703490	tonguedorsum
550534656:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.038208832464500006	Private	meta_mOTU_v2_5811	550534656	tonguedorsum
604812005:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.007175789091200008	Private	meta_mOTU_v2_5811	604812005	tonguedorsum
638754422:tonguedorsum:meta_mOTU_v2_5811	Oral	0.0384892614794	Not Private	meta_mOTU_v2_5811	638754422	tonguedorsum
663835652:tonguedorsum:meta_mOTU_v2_5811	Oral	0.027638067912400005	Not Private	meta_mOTU_v2_5811	663835652	tonguedorsum
675950834:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.044762923261599995	Private	meta_mOTU_v2_5811	675950834	tonguedorsum
737052003:tonguedorsum:meta_mOTU_v2_5811	Oral	0.07750883100569998	Not Private	meta_mOTU_v2_5811	737052003	tonguedorsum
763536994:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.009441019195600003	Private	meta_mOTU_v2_5811	763536994	tonguedorsum
763577454:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.05853039748580001	Private	meta_mOTU_v2_5811	763577454	tonguedorsum
763820215:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.057962155240699996	Private	meta_mOTU_v2_5811	763820215	tonguedorsum
763901136:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.0689719376243	Private	meta_mOTU_v2_5811	763901136	tonguedorsum
763961826:tonguedorsum:meta_mOTU_v2_5811	Oral	-0.023414251307999998	Private	meta_mOTU_v2_5811	763961826	tonguedorsum
